# Hierarchy: NH Interactions: LNC+LNV M1: 1 DM/M: -8.2 y: -5.9 theta: 1.2 delta: 3.1 phi: 5.2
# t asym mu_e mu_mu mu_tau r11 r22 Re(r12) Im(r12) rb11 rb22 Re(rb12) Im(r12) Smooth-Sphaleron-Asym
2.80557e-05 -9.8502e-26 4.16432e-19 2.92651e-18 -3.34302e-18 0.0010391 0.00104562 -8.38921e-06 0.00104228 0.0010391 0.00104562 -8.3892e-06 -0.00104228 0
2.85363e-05 -9.29706e-26 4.44813e-19 3.12596e-18 -3.57085e-18 0.00105701 0.00106364 -8.53379e-06 0.00106025 0.00105701 0.00106364 -8.53379e-06 -0.00106025 0
2.90216e-05 -8.5318e-26 4.74988e-19 3.33803e-18 -3.81308e-18 0.0010751 0.00108185 -8.67984e-06 0.00107839 0.0010751 0.00108185 -8.67984e-06 -0.00107839 0
2.95118e-05 -7.15938e-26 5.07057e-19 3.5634e-18 -4.07051e-18 0.00109337 0.00110024 -8.82738e-06 0.00109672 0.00109337 0.00110024 -8.82738e-06 -0.00109672 0
3.0007e-05 -6.20849e-26 5.41128e-19 3.80283e-18 -4.34401e-18 0.00111183 0.00111881 -8.97642e-06 0.00111524 0.00111183 0.00111881 -8.97641e-06 -0.00111524 0
3.0507e-05 -5.79572e-26 5.7732e-19 4.05718e-18 -4.63454e-18 0.00113048 0.00113758 -9.12696e-06 0.00113394 0.00113048 0.00113758 -9.12696e-06 -0.00113394 0
3.10121e-05 -5.30963e-26 6.15761e-19 4.32732e-18 -4.94313e-18 0.00114932 0.00115653 -9.27904e-06 0.00115284 0.00114932 0.00115653 -9.27904e-06 -0.00115284 0
3.15222e-05 -4.81052e-26 6.56584e-19 4.61421e-18 -5.27083e-18 0.00116834 0.00117568 -9.43266e-06 0.00117192 0.00116834 0.00117568 -9.43266e-06 -0.00117192 0
3.20374e-05 -3.89975e-26 6.99928e-19 4.91881e-18 -5.61877e-18 0.00118757 0.00119502 -9.58784e-06 0.0011912 0.00118757 0.00119502 -9.58784e-06 -0.0011912 0
3.25578e-05 -3.39244e-26 7.4594e-19 5.24217e-18 -5.98814e-18 0.00120698 0.00121456 -9.7446e-06 0.00121068 0.00120698 0.00121456 -9.7446e-06 -0.00121068 0
3.30834e-05 -3.00569e-26 7.94778e-19 5.58538e-18 -6.38018e-18 0.00122659 0.0012343 -9.90295e-06 0.00123035 0.00122659 0.0012343 -9.90295e-06 -0.00123035 0
3.36142e-05 -2.02485e-26 8.46605e-19 5.94958e-18 -6.79621e-18 0.00124641 0.00125423 -1.00629e-05 0.00125023 0.00124641 0.00125423 -1.00629e-05 -0.00125023 0
3.41504e-05 -1.78659e-26 9.01595e-19 6.33603e-18 -7.23763e-18 0.00126642 0.00127437 -1.02245e-05 0.0012703 0.00126642 0.00127437 -1.02245e-05 -0.0012703 0
3.46919e-05 -1.7905e-26 9.59932e-19 6.74599e-18 -7.70594e-18 0.00128664 0.00129472 -1.03877e-05 0.00129058 0.00128664 0.00129472 -1.03877e-05 -0.00129058 0
3.52388e-05 -1.80835e-26 1.02181e-18 7.18084e-18 -8.20267e-18 0.00130706 0.00131527 -1.05526e-05 0.00131106 0.00130706 0.00131527 -1.05526e-05 -0.00131106 0
3.57912e-05 -1.99922e-26 1.08744e-18 7.64209e-18 -8.72955e-18 0.00132769 0.00133602 -1.07191e-05 0.00133176 0.00132769 0.00133602 -1.07191e-05 -0.00133176 0
3.63491e-05 -1.56053e-26 1.15703e-18 8.13113e-18 -9.28818e-18 0.00134853 0.00135699 -1.08874e-05 0.00135266 0.00134853 0.00135699 -1.08874e-05 -0.00135266 0
3.69126e-05 -2.34304e-26 1.23081e-18 8.64961e-18 -9.88044e-18 0.00136958 0.00137818 -1.10573e-05 0.00137378 0.00136958 0.00137818 -1.10573e-05 -0.00137378 0
3.74817e-05 -2.97942e-26 1.30903e-18 9.19928e-18 -1.05083e-17 0.00139084 0.00139957 -1.1229e-05 0.0013951 0.00139084 0.00139957 -1.1229e-05 -0.0013951 0
3.80565e-05 -3.74286e-26 1.39194e-18 9.78193e-18 -1.11739e-17 0.00141232 0.00142119 -1.14024e-05 0.00141665 0.00141232 0.00142119 -1.14024e-05 -0.00141665 0
3.86371e-05 -5.28579e-26 1.4798e-18 1.03994e-17 -1.18792e-17 0.00143402 0.00144302 -1.15776e-05 0.00143842 0.00143402 0.00144302 -1.15776e-05 -0.00143842 0
3.92235e-05 -6.7691e-26 1.57292e-18 1.10537e-17 -1.26267e-17 0.00145594 0.00146508 -1.17546e-05 0.0014604 0.00145594 0.00146508 -1.17546e-05 -0.0014604 0
3.98157e-05 -8.12185e-26 1.67155e-18 1.17469e-17 -1.34185e-17 0.00147808 0.00148736 -1.19333e-05 0.00148261 0.00147808 0.00148736 -1.19333e-05 -0.00148261 0
4.04139e-05 -6.2394e-26 1.77605e-18 1.24812e-17 -1.42573e-17 0.00150045 0.00150987 -1.21139e-05 0.00150504 0.00150045 0.00150987 -1.21139e-05 -0.00150504 0
4.1018e-05 -8.58166e-26 1.88673e-18 1.32591e-17 -1.51459e-17 0.00152304 0.0015326 -1.22963e-05 0.00152771 0.00152304 0.0015326 -1.22963e-05 -0.00152771 0
4.16282e-05 -1.12393e-25 2.00396e-18 1.40829e-17 -1.60869e-17 0.00154586 0.00155557 -1.24806e-05 0.0015506 0.00154586 0.00155557 -1.24805e-05 -0.0015506 0
4.22445e-05 -1.37025e-25 2.12811e-18 1.49553e-17 -1.70835e-17 0.00156891 0.00157876 -1.26667e-05 0.00157372 0.00156891 0.00157876 -1.26667e-05 -0.00157372 0
4.28669e-05 -1.57626e-25 2.25956e-18 1.58791e-17 -1.81388e-17 0.0015922 0.0016022 -1.28547e-05 0.00159708 0.0015922 0.0016022 -1.28547e-05 -0.00159708 0
4.34956e-05 -1.79091e-25 2.39874e-18 1.68571e-17 -1.9256e-17 0.00161573 0.00162587 -1.30446e-05 0.00162068 0.00161573 0.00162587 -1.30446e-05 -0.00162068 0
4.41305e-05 -1.38359e-25 2.54608e-18 1.78925e-17 -2.04387e-17 0.00163949 0.00164978 -1.32365e-05 0.00164451 0.00163949 0.00164978 -1.32364e-05 -0.00164451 0
4.47718e-05 -1.59578e-25 2.70203e-18 1.89885e-17 -2.16907e-17 0.00166349 0.00167393 -1.34303e-05 0.00166859 0.00166349 0.00167393 -1.34302e-05 -0.00166859 0
4.54196e-05 -1.94737e-25 2.8671e-18 2.01485e-17 -2.30158e-17 0.00168774 0.00169833 -1.3626e-05 0.00169291 0.00168774 0.00169833 -1.3626e-05 -0.00169291 0
4.60737e-05 -2.36488e-25 3.04179e-18 2.13761e-17 -2.44181e-17 0.00171223 0.00172298 -1.38238e-05 0.00171748 0.00171223 0.00172298 -1.38238e-05 -0.00171748 0
4.67345e-05 -2.92329e-25 3.22664e-18 2.26751e-17 -2.5902e-17 0.00173697 0.00174788 -1.40235e-05 0.0017423 0.00173697 0.00174788 -1.40235e-05 -0.0017423 0
4.74018e-05 -3.63443e-25 3.42223e-18 2.40496e-17 -2.74721e-17 0.00176197 0.00177303 -1.42253e-05 0.00176737 0.00176197 0.00177303 -1.42253e-05 -0.00176737 0
4.80758e-05 -4.37236e-25 3.62916e-18 2.55037e-17 -2.91332e-17 0.00178721 0.00179843 -1.44291e-05 0.00179269 0.00178721 0.00179843 -1.44291e-05 -0.00179269 0
4.87566e-05 -5.16486e-25 3.84806e-18 2.7042e-17 -3.08905e-17 0.00181272 0.0018241 -1.4635e-05 0.00181827 0.00181272 0.0018241 -1.4635e-05 -0.00181827 0
4.94442e-05 -6.0041e-25 4.07961e-18 2.86691e-17 -3.27492e-17 0.00183848 0.00185002 -1.4843e-05 0.00184411 0.00183848 0.00185002 -1.4843e-05 -0.00184411 0
5.01386e-05 -6.80319e-25 4.32453e-18 3.03902e-17 -3.47153e-17 0.0018645 0.00187621 -1.50531e-05 0.00187021 0.0018645 0.00187621 -1.50531e-05 -0.00187021 0
5.084e-05 -7.71639e-25 4.58354e-18 3.22104e-17 -3.67946e-17 0.00189079 0.00190266 -1.52653e-05 0.00189658 0.00189079 0.00190266 -1.52653e-05 -0.00189658 0
5.15484e-05 -8.77088e-25 4.85743e-18 3.41351e-17 -3.89932e-17 0.00191734 0.00192938 -1.54797e-05 0.00192321 0.00191734 0.00192938 -1.54797e-05 -0.00192321 0
5.22639e-05 -9.81094e-25 5.14704e-18 3.61702e-17 -4.1318e-17 0.00194416 0.00195637 -1.56963e-05 0.00195012 0.00194416 0.00195637 -1.56962e-05 -0.00195012 0
5.29865e-05 -1.07286e-24 5.45325e-18 3.8322e-17 -4.37761e-17 0.00197126 0.00198363 -1.5915e-05 0.0019773 0.00197126 0.00198363 -1.5915e-05 -0.0019773 0
